n_tests_bonferroni,alpha_per_test,N_papers,detectable_standardized_dz_power_0.8
1,0.05,4,1.400792609056484
1,0.05,10,0.8859390348296594
1,0.05,25,0.5603170436225936
1,0.05,50,0.3962039811599345
1,0.05,100,0.2801585218112968
1,0.05,200,0.19810199057996725
2,0.025,4,1.5415119805889304
2,0.025,10,0.9749377798196573
2,0.025,25,0.6166047922355722
2,0.025,50,0.4360054299018953
2,0.025,100,0.3083023961177861
2,0.025,200,0.21800271495094764
7,0.0071428571428571435,4,1.7658653803658904
7,0.0071428571428571435,10,1.1168313286391585
7,0.0071428571428571435,25,0.7063461521463561
7,0.0071428571428571435,50,0.4994621540477132
7,0.0071428571428571435,100,0.35317307607317805
7,0.0071428571428571435,200,0.2497310770238566
14,0.0035714285714285718,4,1.8776737759536266
14,0.0035714285714285718,10,1.1875451669564319
14,0.0035714285714285718,25,0.7510695103814506
14,0.0035714285714285718,50,0.5310863439331838
14,0.0035714285714285718,100,0.3755347551907253
14,0.0035714285714285718,200,0.2655431719665919
