family,sigma_d,target_raw_delta,N_min_power_0.8,N_min_power_0.9
0-1 structural-like,0.05,0.02,50,66
0-1 structural-like,0.05,0.05,8,11
0-1 structural-like,0.05,0.1,2,3
0-1 structural-like,0.05,0.2,1,1
0-1 structural-like,0.1,0.02,197,263
0-1 structural-like,0.1,0.05,32,43
0-1 structural-like,0.1,0.1,8,11
0-1 structural-like,0.1,0.2,2,3
0-1 structural-like,0.2,0.02,785,1051
0-1 structural-like,0.2,0.05,126,169
0-1 structural-like,0.2,0.1,32,43
0-1 structural-like,0.2,0.2,8,11
0-10 judge-like,0.5,0.25,32,43
0-10 judge-like,0.5,0.5,8,11
0-10 judge-like,0.5,1.0,2,3
0-10 judge-like,0.5,1.5,1,2
0-10 judge-like,1.0,0.25,126,169
0-10 judge-like,1.0,0.5,32,43
0-10 judge-like,1.0,1.0,8,11
0-10 judge-like,1.0,1.5,4,5
0-10 judge-like,1.5,0.25,283,379
0-10 judge-like,1.5,0.5,71,95
0-10 judge-like,1.5,1.0,18,24
0-10 judge-like,1.5,1.5,8,11
