run_name,n_papers,papers,structural_distance_mean,structural_distance_sd,judge_average_mean,judge_average_sd
2409.13738,1,2409.13738,0.44680851063829785,,,
ablation_no_meta_abstract,4,2307.05527 2409.13738 2511.13936 2601.19926,0.5211880404335647,0.21495032058694408,7.395833333333333,0.8508574106942557
ablation_no_meta_abstract__judge-gemini-3.1-pro-preview,1,2601.19926,0.8431372549019608,,5.75,
ablation_with_meta_abstract,4,2307.05527 2409.13738 2511.13936 2601.19926,0.4396017103441202,0.21974138558163067,7.5625,1.0031778210969082
ablation_with_meta_abstract__judge-gemini-3.1-pro-preview,1,2601.19926,0.7647058823529411,,8.0,
baseline_no_taxonomy,1,096_2502.03108,0.5234305923961097,0.05751885399572268,6.791666666666666,0.29462782549439503
codex_contract_smoke,1,2409.13738,0.44680851063829785,,7.666666666666667,
codex_eval,1,2409.13738,0.44680851063829785,,8.416666666666666,
codex_eval_smoke,1,2409.13738,0.44680851063829785,,,
gemini-2.5-flash-smoke,1,2409.13738,0.42857142857142855,,6.5,
gemini-3.1-pro-preview-2601,1,2601.19926,0.6923076923076923,,7.833333333333333,
gemini-3.1-pro-preview-3papers,3,2307.05527 2409.13738 2511.13936,0.3932965223287804,0.0632912125069595,7.083333333333333,1.0833333333333335
gemini-3.1-pro-preview-smoke,1,2409.13738,0.25,,7.5,
gemini-3.1-pro-preview__judge-gpt-5.4-xhigh,4,2307.05527 2409.13738 2511.13936 2601.19926,0.46804931482350837,0.15818482332419517,6.75,0.5692750425533109
gpt-5.3-codex-spark-high,1,2409.13738,0.49019607843137253,,7.583333333333333,
gpt-5.3-codex-spark-low,1,2409.13738,0.5416666666666666,,8.0,
gpt-5.3-codex-spark-medium,1,2409.13738,0.4222222222222222,,7.0,
gpt-5.3-codex-spark-xhigh,1,2409.13738,0.5357142857142857,,7.916666666666667,
gpt-5.4-high,1,2409.13738,0.3333333333333333,,7.5,
gpt-5.4-low,1,2409.13738,0.35135135135135137,,7.0,
gpt-5.4-mini-high,1,2409.13738,0.35714285714285715,,8.0,
gpt-5.4-mini-low,1,2409.13738,0.5357142857142857,,6.75,
gpt-5.4-mini-medium,1,2409.13738,0.35714285714285715,,7.666666666666667,
gpt-5.4-mini-xhigh,1,2409.13738,0.35714285714285715,,7.333333333333333,
gpt-5.4-mini-xhigh-4papers,4,2307.05527 2409.13738 2511.13936 2601.19926,0.42752006734209186,0.2547075038801142,7.9375,0.46335631437811875
gpt-5.4-xhigh,1,2409.13738,0.36585365853658536,,6.916666666666667,
gpt-5.4-xhigh-2601,1,2601.19926,0.8048780487804879,,7.916666666666667,
gpt-5.4-xhigh-3papers,3,2307.05527 2409.13738 2511.13936,0.28692978692978693,0.009816363530956341,7.5,0.6821127309893708
gpt-5.4-xhigh__judge-gemini-3.1-pro-preview,4,2307.05527 2409.13738 2511.13936 2601.19926,0.4164168523924622,0.2590981303493366,7.583333333333334,1.120102508536442
taxonomy_augmented_v1_minimal,1,096_2502.03108,0.5032467532467533,0.15611448415806894,7.333333333333334,0.11785113019775813
taxonomy_augmented_v2_guarded,1,096_2502.03108,0.5,0.04159451654038516,5.083333333333334,0.11785113019775813
